"dose_log","pE_cond","pT","neutral","success","toxicity","scenario","dgp"
5.77,0.9845458000681,0.999999986102715,2.14771427600765e-10,1.36825140059499e-08,0.999999986102715,"D","Misspecification 1: probit/probit"
-1.2,0.543837156829713,0.000940648439632382,0.455733754303641,0.543325597256727,0.000940648439632382,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
-0.23,0.673667529565538,0.00247756108708268,0.325523961804262,0.671998477108655,0.00247756108708268,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
0.92,0.798302733784308,0.00778299973269081,0.200127456446651,0.792089543820658,0.00778299973269081,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
2.02,0.880620575880627,0.023022311592208,0.116631033819599,0.860346654588193,0.023022311592208,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
3,0.927774798964718,0.0590780912152456,0.0679582740204804,0.872963634764274,0.0590780912152456,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
3.69,0.949957281210985,0.111253565433167,0.0444752878997673,0.844271146667065,0.111253565433167,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
4.38,0.933543988368163,0.19972723741565,0.0531829360189481,0.747089826565402,0.19972723741565,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
5.08,0.88306324861751,0.334478130787941,0.0778239653596604,0.587697903852399,0.334478130787941,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
5.77,0.8,0.500499999833333,0.0999000000333333,0.399600000133333,0.500499999833333,"A","Misspecification 2: quadratic efficacy + logistic toxicity"
-1.2,0.201748796087418,8.85599619149548e-07,0.798250496981619,0.201748617418762,8.85599619149548e-07,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
-0.23,0.796861034676683,6.16263468871313e-06,0.203137713452083,0.796856123913229,6.16263468871313e-06,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
0.92,0.948225267276393,6.14638435538151e-05,0.0517715504495348,0.948166985706911,6.14638435538151e-05,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
2.02,0.935500534102686,0.000554438542001714,0.0644637049074823,0.934981856550516,0.000554438542001714,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
3,0.913839337221139,0.00392287455445182,0.0858226653072516,0.910254460138297,0.00392287455445182,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
